cluster,gene,rank,score,method,direction
clusterFour,LTA,209,0.09242948711375325,rawMAE,min
clusterFour,AP006621.3,210,0.09244705066376975,rawMAE,min
clusterFour,CEP89,211,0.09252817102776824,rawMAE,min
clusterFour,TAF8,212,0.09256151940693849,rawMAE,min
clusterFour,SPPL3,213,0.09272375945397125,rawMAE,min
clusterFour,FBXO42,214,0.09284917385782125,rawMAE,min
clusterFour,RNF31,215,0.09300962245526609,rawMAE,min
clusterFour,PINX1,216,0.093166461084269,rawMAE,min
clusterFour,RGL4,217,0.09328570768527063,rawMAE,min
clusterFour,ZNF770,218,0.09331598866379226,rawMAE,min
clusterFour,FAM153CP,219,0.09342870417756174,rawMAE,min
clusterFour,ZNF251,220,0.09346343665116649,rawMAE,min
clusterFour,PGM2,221,0.093476685523071,rawMAE,min
clusterFour,UBE2Q2,222,0.0935016039219705,rawMAE,min
clusterFour,PIP5K1C,223,0.0935998280451075,rawMAE,min
clusterFour,LACTB,224,0.09363819349457099,rawMAE,min
clusterFour,NR1D1,225,0.09368775644385399,rawMAE,min
clusterFour,HOOK1,226,0.09391378807558674,rawMAE,min
clusterFour,NOG,227,0.09437902676501474,rawMAE,min
clusterFour,VRK1,228,0.09439058156234224,rawMAE,min
clusterFour,MED9,229,0.09460746130104875,rawMAE,min
clusterFour,DNASE1L1,230,0.0946967056214204,rawMAE,min
clusterFour,FAM153A,231,0.09477660036360874,rawMAE,min
clusterFour,DMAC2,232,0.094785806546923,rawMAE,min
clusterFour,DCTN5,233,0.09483143033187048,rawMAE,min
clusterFour,C12orf43,234,0.09483461107362749,rawMAE,min
clusterFour,MCM3AP,235,0.09489795684469725,rawMAE,min
clusterFour,PARN,236,0.09489858478199725,rawMAE,min
clusterFour,DDA1,237,0.09489946749941175,rawMAE,min
clusterFour,PCSK1N,238,0.09501062356027075,rawMAE,min
clusterFour,TIMM50,239,0.09505057774900187,rawMAE,min
clusterFour,HIST1H3H,240,0.0951108670223345,rawMAE,min
clusterFour,AIF1,241,0.09511127769288849,rawMAE,min
clusterFour,TESMIN,242,0.095184595781814,rawMAE,min
clusterFour,GRAMD1B,243,0.095203899904468,rawMAE,min
clusterFour,LYPLAL1,244,0.09524415015832374,rawMAE,min
clusterFour,PLAG1,245,0.09527067732535549,rawMAE,min
clusterFour,ZNF37A,246,0.09529564679211575,rawMAE,min
clusterFour,VPS54,247,0.09533641494496574,rawMAE,min
clusterFour,AC245014.3,248,0.09536729804220424,rawMAE,min
clusterFour,ZNF445,249,0.095444210711556,rawMAE,min
clusterFour,ATP10A,250,0.0954628394324495,rawMAE,min
clusterFour,KDM1A,251,0.09546906370933163,rawMAE,min
clusterFour,ITPR2,252,0.09547497060788848,rawMAE,min
clusterFour,PLEKHA5,253,0.0955348941657315,rawMAE,min
clusterFour,AL365361.1,254,0.09554958860786324,rawMAE,min
clusterFour,SPNS3,255,0.09559035877838125,rawMAE,min
clusterFour,LINC02762,256,0.095707813985859,rawMAE,min
clusterFour,KIAA1191,257,0.09573737282804425,rawMAE,min
clusterFour,ATP11C,258,0.09588986303720774,rawMAE,min
clusterFour,COASY,259,0.09592596994750557,rawMAE,min
clusterFour,AC023157.3,260,0.09595025275256348,rawMAE,min
clusterFour,ENOX2,261,0.09605315947369199,rawMAE,min
clusterFour,NAA80,262,0.09610243623856375,rawMAE,min
clusterFour,WDFY1,263,0.0961549898738765,rawMAE,min
clusterFour,CCDC137,264,0.09636218608543262,rawMAE,min
clusterFour,NSUN3,265,0.0963944071265795,rawMAE,min
clusterFour,OAS3,266,0.09646971939065675,rawMAE,min
clusterFour,TMEM181,267,0.09648764541981425,rawMAE,min
clusterFour,RNF6,268,0.0965914218849885,rawMAE,min
clusterFour,B9D2,269,0.0967259324683895,rawMAE,min
clusterFour,C12orf45,270,0.09678910299541112,rawMAE,min
clusterFour,MIB1,271,0.09680310532402174,rawMAE,min
clusterFour,ATP6V1B2,272,0.09692722392648,rawMAE,min
clusterFour,VSIG1,273,0.09694468724523723,rawMAE,min
clusterFour,PIM3,274,0.09697661024805623,rawMAE,min
